hem,gzoe,gsnl,gsnn,gznl
N,Even,J,23,Q
N,Even,K,24,Q
N,Even,L,25,Q
N,Even,M,26,Q
N,Odd,A,20,Q
N,Odd,B,21,Q
N,Odd,C,22,Q
N,Odd,D,23,Q
N,Odd,E,24,Q
N,Odd,F,25,Q
N,Odd,G,26,Q
N,Odd,T,17,Q
N,Odd,U,18,Q
N,Odd,V,19,Q
N,Even,A,35,R
N,Even,M,26,R
N,Even,N,27,R
N,Even,P,28,R
N,Even,Q,29,R
N,Even,R,30,R
N,Even,S,31,R
N,Even,T,32,R
N,Even,U,33,R
N,Even,V,34,R
N,Odd,G,26,R
N,Odd,H,27,R
N,Odd,J,28,R
N,Odd,K,29,R
N,Odd,L,30,R
N,Odd,M,31,R
N,Odd,N,32,R
N,Odd,P,33,R
N,Odd,Q,34,R
N,Odd,R,35,R
N,Even,A,35,S
N,Even,B,36,S
N,Even,C,37,S
N,Even,D,38,S
N,Even,E,39,S
N,Even,F,40,S
N,Even,G,41,S
N,Even,H,42,S
N,Even,J,43,S
N,Even,K,44,S
N,Odd,A,40,S
N,Odd,B,41,S
N,Odd,C,42,S
N,Odd,D,43,S
N,Odd,E,44,S
N,Odd,R,35,S
N,Odd,S,36,S
N,Odd,T,37,S
N,Odd,U,38,S
N,Odd,V,39,S
N,Even,K,44,T
N,Even,L,45,T
N,Even,M,46,T
N,Even,N,47,T
N,Even,P,48,T
N,Even,Q,49,T
N,Even,R,50,T
N,Even,S,51,T
N,Even,T,52,T
N,Even,U,53,T
N,Odd,E,44,T
N,Odd,F,45,T
N,Odd,G,46,T
N,Odd,H,47,T
N,Odd,J,48,T
N,Odd,K,49,T
N,Odd,L,50,T
N,Odd,M,51,T
N,Odd,N,52,T
N,Odd,P,53,T
N,Even,A,55,U
N,Even,B,56,U
N,Even,C,57,U
N,Even,D,58,U
N,Even,E,59,U
N,Even,F,60,U
N,Even,G,61,U
N,Even,H,62,U
N,Even,U,53,U
N,Even,V,54,U
N,Odd,A,60,U
N,Odd,B,61,U
N,Odd,C,62,U
N,Odd,P,53,U
N,Odd,Q,54,U
N,Odd,R,55,U
N,Odd,S,56,U
N,Odd,T,57,U
N,Odd,U,58,U
N,Odd,V,59,U
N,Even,H,62,V
N,Even,J,63,V
N,Even,K,64,V
N,Even,L,65,V
N,Even,M,66,V
N,Even,N,67,V
N,Even,P,68,V
N,Even,Q,69,V
N,Even,R,70,V
N,Odd,C,62,V
N,Odd,D,63,V
N,Odd,E,64,V
N,Odd,F,65,V
N,Odd,G,66,V
N,Odd,H,67,V
N,Odd,J,68,V
N,Odd,K,69,V
N,Odd,L,70,V
N,Even,A,75,W
N,Even,B,76,W
N,Even,C,77,W
N,Even,D,78,W
N,Even,E,79,W
N,Even,R,70,W
N,Even,S,71,W
N,Even,T,72,W
N,Even,U,73,W
N,Even,V,74,W
N,Odd,L,70,W
N,Odd,M,71,W
N,Odd,N,72,W
N,Odd,P,73,W
N,Odd,Q,74,W
N,Odd,R,75,W
N,Odd,S,76,W
N,Odd,T,77,W
N,Odd,U,78,W
N,Odd,V,79,W
N,Even,E,79,X
N,Even,F,80,X
N,Even,G,81,X
N,Even,H,82,X
N,Even,J,83,X
N,Even,K,84,X
N,Even,L,85,X
N,Even,M,86,X
N,Even,N,87,X
N,Even,P,88,X
N,Even,Q,89,X
N,Even,R,90,X
N,Even,S,91,X
N,Even,T,92,X
N,Even,U,93,X
N,Odd,A,80,X
N,Odd,B,81,X
N,Odd,C,82,X
N,Odd,D,83,X
N,Odd,E,84,X
N,Odd,F,85,X
N,Odd,G,86,X
N,Odd,H,87,X
N,Odd,J,88,X
N,Odd,K,89,X
N,Odd,L,90,X
N,Odd,M,91,X
N,Odd,N,92,X
N,Odd,P,93,X
N,Odd,V,79,X
